"Title","Event Code","Event Rank","Attendance Record","Start Date","End Date","Region","Location","Event Type","Event Location: Street","Event Location: City","Event Location: State","Event Location: Country/Region","Venue","Event Website","Booth Size","Booth%23","Status","Sector","Organizing Company","Business Lines","Show Captain","Ship By Date","Registration Deadline","Mockups/Models","Action Status","Main Event Subject","Notes","Related Documents","Days until Start","Staff_Assigned","Email Header"
"UMEX ","UMEX26","3","NEW","1/20/2026","1/22/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.umexabudhabi.ae/",,,"GO","ADG","SAI",,"AWA",,,,"If participation confirmed, entrance to be taking care by sales","Unmanned systems, robotics, and artificial intelligence","""Requested by : ",,"-31",,
"INDIA PNT SHOWCASE","IPNT26","3","NEW","2/6/2026","2/6/2026","APAC","Unknown","[""Speaking""]",,,,,,,,,"GO","ADG","PNT",,"AWA",,,,,"NavWar, Simulation","Requested by : 
BL: ST4D
Topic : Business Development 
Action : Budget to allocate ",,"-14",,
"SINGAPORE AIRSHOW 2026","SING26","1","Existing","2/3/2026","2/8/2026","APAC","Unknown","[""Exhibition""]",,,,,,"https://www.singaporeairshow.com/exhibit/participation-options",,,"GO","ADG","SAFRAN <br>GROUP",,"AWA",,,,"Requirements document send to SED for Franck Saudo","international aerospace and defence exhibitions","Requested by :
BL: 
Topic : 
Action : Decide the products",,"-17",,
"PNT2026 (Former IGNSS)","PNT26","2","Existing","2/4/2026","2/6/2026","APAC","Unknown","[""Walking""]",,,,,,"https://www.ain.org.au/events/pnt-2026",,,"DIVISION INTEREST ? ","ADG","SED Australia",,"AWA",,,,"Sales walking TBC by Marianne","keynotes, technical sessions, industry exhibitions and networking on GNSS resilience, sensor fusion, space-based PNT, cybersecurity threats, and emerging applications across aviation, maritime, agriculture, mining, and space.","Requested by :
BL: ST4D Timing 
Topic : Business Devlopment 
Action : To check with STAD Timing team for participation level and then Anthony BIANCO for subscribtion",,"-16",,
"ISE 2026","ISE26","3","NEW","2/4/2026","2/7/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.iseurope.org/",,,"PARTCIPATION CANCELED","GCI","PNT",,"AWA",,,,"If participation confirmed, entrance to be taking care by sales","The world-renowned annual tech show for the systems integration and audiovisual industry","Requested by :Jay Malguitou
BL: ST4D
Topic : 
Action : ",,"-16",,
"Danish Defence Annual Conference - DDAC ","DDAC26","2","Existing","2/5/2026","2/6/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.danskindustri.dk/medlemsforeninger/foreningssites/fos/arrangementer/events/2026/februar/information-about-ddac-2026/",,,"PARTCIPATION CANCELED","ADG","SED DEF",,"AWA",,,,"Doubled price if two people are going ","Defense","Requested by : INS - 2025 :  Jean-Baptiste MAUBIAN
BL: INS
Topic : 
Action : Confirm the interest of each BL",,"-15",,
"WORLD DEFENSE SHOW 2026","WDS26","2","Existing","2/8/2026","2/12/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.worlddefenseshow.com/en",,,"GO","ADG","SAFRAN <br>GROUP",,"AWA",,,,"Requirements document send to SED for Franck Saudo","Global Defense ","Requested by :
BL: 
Topic : 
Action : ",,"-12",,
"Cislunar PNT Workshop ","CLPW26","3","NEW","2/11/2026","2/13/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.unoosa.org/oosa/en/ourwork/icg/working-groups/b/CislunarPNT2025.html",,,"PARTCIPATION CANCELED","ADG","PNT",,"AWA",,,,"If participation confirmed, entrance to be taking care by sales","Open international coordination forum for lunar PNT service providers, including GNSS providers","Requested by : Quentin Parent 
BL: ST4D Timing 
Topic : 
Action : None",,"-9",,
"Spain Small Satellites &amp; Services International Forum SSSIF","SSSIF26","3","NEW","2/17/2026","2/19/2026","EMEA","Unknown","[""Walking""]",,,,,,"SSSIF2026",,,"SALES","CGI","PNT",,"AWA",,,,"GO","Workshop for small satellites designers, technicians, developers and launchers","Requested by : Enzo Devaux
BL: ST4D
Topic : 
Action : 
Comments : walking event",,"-3",,
"Data Center World Paris","DCWP26","3","NEW","2/17/2026","2/17/2026","EMEA","Unknown","[""Walking""]",,,,,,"Data Centre World Paris | L’événement data centres en France",,,"SALES","GCI","PNT",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Precision timing for data centers
GNSS backup","Requested by : Mélanie Combay
BL: ST4D
Topic :
Action : ",,"-3",,
"FUTURE INDIRECT FIRE CONFERENCE ","FIFC26","3","Existing","2/24/2026","2/25/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"Future Indirect Fires",,,"GO","ADG","SED DEF",,"AWA",,,,"Interest confirmed, Participants INS confirmed 
Comments : previously walking event - need to confirm the interest  4000 euros requested by Sonier","Artillery","Requested by : Christophe Sonnier 
BL: INS
Topic : Speaking slot + 10m² booth
Action : Participation confirmed &amp; Vectronix will split the bill
",,"3",,
"ENFORCE TAC 2026","ETAC26","3","Existing","2/23/2026","2/25/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.enforcetac.com/en",,,"GO","ADG","SED DEF",,"AWA",,,,"Interest confirmed, Participants /products/Budget  TBC by 14 of November - not possible for Sonier with Future Indirect at the same time ","internal and external security","Requested by :
BL: 
Topic : 
Action : 
Comments : mandatory to participate if the division confirm to exhibit ",,"2",,
"DEFSat ","DEFS26","3","Existing","2/24/2026","2/26/2026","APAC","Unknown","[""Walking""]",,,,,,"https://itdcindia.com/defsat-2025-defence-space-aspirations/",,,"GO","ADG","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Space event ","Requested by :
BL: 
Topic : 
Action :",,"3",,
"BACSI 2026","BACS26","3","Existing","3/18/2026","3/19/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://ejerciciobacsi.com/",,,"GO","ADG","PNT",,"AWA",,,,"R&T event - If participation confirmed, entrance to be taking care by sales","live demonstrations with aircraft and advanced technology systems","Requested by : Carlos Frias &lt;carlos.frias@nav-timing.safrangroup.com&gt;
BL: ST4D Timing 
Topic : Business Devlopment for Defense
Action : None",,"25",,
"CIPPE 2026","CIPP26","3","Existing","3/26/2026","3/28/2026","APAC","Unknown","[""Walking""]",,,,,,"https://en.cippe.com.cn/",,,"GO","GCI","PNT",,"AWA",,,,"If participation confirmed, entrance to be taking care by sales","annual gathering of petroleum and petrochemical industry","Requested by : INS
BL: 
Topic : Business Devlopment 
Action : Interest to be confirmed ",,"33",,
"XPONENTIAL EUROPE 2026","XPON26","3","NEW","3/24/2026","3/26/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.xponential-europe.com/",,,"GO","ADG","PNT",,"AWA",,,,"Interest + budget confirmed, Participants /products TBC","autonomous technologies & robotics","Requested by : 
BL: All
Topic : Business Devlopment 
Action : Check Out booth Availability &amp; Pricing",,"31",,
"MUNICH SATELLITE NAVIGATION SUMMIT 2026","MSNS26","3","Existing","3/23/2026","3/27/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.munich-satellite-navigation-summit.org/",,,"GO","ADG","PNT",,"AWA",,,,"Interest + budget confirmed, Participants /products TBC","Space event","Requested by : N/A - Usual Yearly participation
BL: ST4D Sim (Jens, Jay, Gregory Moura, Quentin Parent, Guillaume Obry in 2025)
Topic : Business Devlopment 
Action : Check Out booth Availability &amp; Pricing",,"30",,
"Quantum Networks Summit 2026","QNS26","3","Existing","3/24/2026","3/26/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.uppersideconferences.com/quantum-networks/2026/",,,"GO","GCI","PNT",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales",,"Requested by : Walking -Javier B./Paco
BL: SCT
Topic : 
Action :",,"31",,
"EPICS Collaboration Meeting, 2026","EPIC26","3","Existing","4/1/2026","4/1/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://epics-controls.org/tag/collaboration-meeting/",,,"GO","GCI","PNT",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales",,"Requested by : Walking -Migue, Adrian
BL: 
Topic : 
Action : ",,"39",,
"STAC Hong Kong 2026","STACHK26","3","NEW","4/13/2026","4/13/2026","APAC","Unknown","[""Exhibition""]",,,,,,"https://stacresearch.com/events/",,,"PENDING","GCI","PNT ",,"AWA",,,,"Level of participation TBC to allocate a budget - 7000e request - sales didn't show up in 2025","Timing for financial markets & high-precision trading, Sychronization","Requested by : Danny, Jacob and Moderntech
BL: ST4D Timing
Topic : White Rabbit and TimeLynx as a new solution promotion
Action : Confirm we can contribute $7k for co-sponsorship. - previously walking event
Level of participation TBC to allocate a budget - 7000e request - sales didn&#39;t show up in 2025 
",,"51",,
"ELEKTRONIK","ELEK26","3","Existing","4/14/2026","4/15/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.elektronikmassan.se/",,,"GO","GCI","PNT Partner <br>(Testhouse)",,"AWA",,,,"Interest/participants confirmed, Budgets /products TBC","electronics—from groundbreaking technology to thousands of products","Requested by : BL: ST4D, 
Topic : Business Devlopment 
Action : No payment in 2025 ",,"52",,
"LINAC - Linear Accelerator Conference","LINAC26","3","Existing","4/16/2026","4/24/2026","APAC","Unknown","[""Walking""]",,,,,,,,,"GO","GCI","PNT",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales",,"Requested by :Walking - Danny Loke
 BL: SCT
Topic : 
Action :",,"54",,
"ISHW 2026 - Stellarator Workshop","ISHW26","3","Existing","4/20/2026","4/24/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://ishw2026.com/",,,"GO","GCI","PNT",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales",,"Requested by :Walking -Juan, Migue
 BL: SCT
Topic : 
Action :",,"58",,
"DSA 2026","DSA26","2","Existing","4/20/2026","4/23/2026","APAC","Unknown","[""Exhibition""]",,,,,,"https://www.dsaexhibition.com/about-dsa-2026",,,"GO","ADG","SED DEF",,"AWA",,,,"Requirements document send to SED for Franck Saudo","technologies, systems, hardware and electronic warfare","Requested by : 
BL: 
Topic : Business Devlopment 
Action :",,"58",,
"EFTF 2026","EFTF26","3","Existing","4/20/2026","4/23/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://atpi.eventsair.com/eftf-2026",,,"GO","GCI","PNT ",,"AWA",,,,"Interest confirmed / Budget + participants + products TBC","Forum  Frequency and Time","Requested by : N/A - Usual Yearly participation
BL: ST4D Timing &amp; STT Clocks
Topic : New solution promotion
Action : Check Out booth Availability &amp; Pricing",,"58",,
"WQRN5 - Workshop for Quantum Repeaters and Networks ","WQRN26","3","Existing","4/27/2026","4/29/2026","APAC","Unknown","[""Walking""]",,,,,,,,,"GO","GCI","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales",,,,"65",,
"ENC 2026","ENC26","3","Existing","4/28/2026","4/30/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://enc-series.org/",,,"GO","ADG","PNT ",,"AWA",,,,"Interest confirmed / Budget + participants + products TBC","Conference positioning, navigation and timing","Requested by : N/A - Usual Yearly participation
BL: ST4D Sim
Topic : Business Devlopment 
Action : Annonce officielle rachat Syntony - Annonce nouveau produit Timing MPIU4 TBC",,"66",,
"STAC LONDON SPRING 2026","STLS26","3","Existing","4/29/2026","4/29/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://stacresearch.com/events/




",,,"PENDING","GCI","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Timing for financial markets & high-precision trading, Sychronization.","Requested by :
BL: 
Topic : 
Action :",,"67",,
"GNSS Simulation for Autonomous/Intelligent Connected Vehicles and Low-Altitude Economy Applications Webinar","GSW26","3","NEW",,,"APAC","Unknown","[""Exhibition""]",,,,,,"?",,,"PENDING","GCI","PNT ",,"AWA",,,,"Online event - participation TBC 3000e ? 
Warning : new event requested a budget participation ","?","Requested by: Danny and local partner, Tesight.
BL: ST4D Simulation.
Topic: Webinar covering industry trends and challenges in GNSS simulation testing, core capabilities of GNSS simulators, fundamental principles and test configurations for GNSS signal simulation, and Skydel software operation. It provides customers with a comprehensive and detailed introduction to GNSS simulators and their applications. Tesight also plan to invite industry experts to participate in the webinar and seek partnerships with media outlets, aiming to reach over 300 contacts.
The 2025 live stream on related topics attracted 52 clients, and we are actively following up on these leads.
Warning : new event requested a budget participation 
Tesight Cost: €6,000
Request for co-sponsor: €3,000
Action:  Confirm Safran budget to support this webinar.
",,,,
"SAHA 2026","SAHA26","2","NEW","5/5/2026","5/9/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://sahaexpo.com/en/home/",,,"TBC SAFRAN GROUP","ADG","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by sales","International Defence and Aerospace Exhibition ","Requested by : 
BL: INS ?
Topic : Business Devlopment (Open Timing)
Action : ",,"73",,
"ROTOR TECH","ROTR26","2","NEW","5/6/2026","5/8/2026","APAC","Unknown","[""Walking""]",,,,,,"https://rotortech.com.au/",,,"SALES","GCI","SED DEF",,"AWA",,,,"DEF participation TBC - new event so should be a walking one ",,"Requested by : 
BL: INS ?
Topic : Business Devlopment (Open Timing)
Action : ",,"74",,
"GLEX ","GLEX26","2","NEW","5/7/2026","5/9/2026","APAC","Unknown","[""Walking""]",,,,,,"https://www.iafastro.org/events/global-series-conferences/global-conference-on-space-exploration-2025/",,,"GO","GCI","PNT",,"AWA",,,,"If participation confirmed, entrance to be taking care by sales","Global Space Exploration Conference in India","Requested by : 
BL: INS ?
Topic : Business Devlopment (Open Timing)
Action : ",,"75",,
"IDEB ","IDEB26","2","NEW","5/14/2026","5/16/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.incheba.sk/en/fairs-and-exhibitions/ideb-defence-security/",,,"GO","ADG","SED DEF",,"AWA",,,,"If participation confirmed, entrance to be discussed with Vectronics","innovations and modern defence approaches","Requested by : 
BL: INS interested - vectronics TBC 
Topic : 
Action : ",,"82",,
"BALTIC FINTECH DAYS","BFD26","2","NEW","5/12/2026","5/13/2026","EMEA","Unknown","[""Walking""]",,,,,,"Baltic Fintech Days - The Baltics' Largest Fintech Event",,,"TBC SALES","GCI","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Fintech","Requested by : 
BL:
Topic : 
Action : ",,"80",,
"COMBINED NAVAL EVENT 2026","CNE26","2","Existing","5/11/2026","5/14/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://navyleaders.com/combined-naval-event-overview/",,,"GO","ADG","SED DEF",,"AWA",,,,"Interest / Budget confirmed - participants + products TBC","Naval and maritime collaboration","Requested by : N/A - Usual Yearly participation
BL: All 
Topic : Business Devlopment 
Action : Coordinate with SED DEF Team ",,"79",,
"GSTCE","GSTC26","3","NEW","5/13/2026","5/14/2026","APAC","Unknown","[""Walking""]",,,,,,"https://www.space.org.sg/gstce/",,,"TBC SALES","ADG","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","
18th Edition
Commercialising Space: Driving Economic Value Across Industries","Requested by :
BL:  R&amp;T
Topic : 
Action :",,"81",,
"IPAC 2026 - International Particle Accelerator Conference","IPAC26","1","Existing","5/17/2022","5/22/2022","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.ipac26.org/",,,"GO","GCI","PNT",,"AWA",,,,"R&T budget TBC + products ","premier annual gathering for the global accelerator community","Requested by :
BL:  R&amp;T
Topic : 
Action : Should be paying by R&amp;T",,"-1,375",,
"EMERSON EXCHANGE 2026","EMEX26","3","Existing","5/19/2026","5/21/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"Emerson Exchange 2026 | Emerson GB",,,"GO","GCI","PNT ",,"AWA",,,,"Interest + Budget confirmed /  participants + products TBC ","Global conference to share the future/perspective of industries ","Requested by :
BL: 
Topic : 
Action :",,"87",,
"FURTURE ARTILLERY","FARC26","3","Existing","5/19/2026","5/21/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.defenceiq.com/events-futureartillery",,,"PENDING ","GCI","SED DEF",,"AWA",,,,"Budget problem - 15000 in 2025 - no budget for this year - no DEF - going as a walker ? ",,"Requested by :
BL: 
Topic : 
Action :",,"87",,
"AOC EUROPE","AOCE26","3","Existing","5/19/2026","5/21/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.aoceurope.org/",,,"NO GO - Walking ","GCI","PNT",,"AWA",,,,"Problem with this event in 2025 with SDS - no one went there on our side and we spent 8000 euros - proposal to go as a walking ",,"Requested by :
BL: 
Topic : 
Action :",,"87",,
"BSDA 2026 ","BSDA26","2","NEW","5/22/2026","5/25/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.bsda.ro/",,,"GO","ADG","SED DEF",,"AWA",,,,"Interest or not ? "," Defence, Aerospace and Security exhibition","Requested by : N/A - Usual Yearly participation
BL: All 
Topic : Business Devlopment 
Action : Coordinate with Vectronix / Define participation level ",,"90",,
"KADEX ","KADEX26","3","NEW","5/23/2026","5/26/2026","APAC","Unknown","[""Walking""]",,,,,,"https://kadexaroka.com/eng/",,,"TBC","ADG","SED DEF",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","largest ground weapons expo","Requested by : N/A - Usual Yearly participation
BL: All 
Topic : Business Devlopment 
Action : Coordinate with SED",,"91",,
"SMALLSAT EUROPE 2026","SMSE26","2","Existing","5/26/2026","5/28/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://smallsateurope.com/",,,"TBC SDS","ADG","SDS",,"AWA",,,,"Waiting for SDS return ","Sapce event ","Requested by : N/A - Usual Yearly participation
BL: All 
Topic : Business Devlopment 
Action : Coordinate with SED Space",,"94",,
"GLEX India - TBC","GLIN26","3","NEW",,,"APAC","Unknown","[""Walking""]",,,,,,"https://www.iafastro.org/events/global-series-conferences/global-conference-on-space-exploration-2025/",,,"GO","ADG","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Space conference ","Requested by : 
BL: All 
Topic : Business Devlopment 
Action : ",,,,
"Airspace World","ASW26","3","NEW","5/26/2026","5/28/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://airspaceworld.com/",,,"TBC SALES","ADG","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Airspace","Requested by : Enzo Devaux
BL: All 
Topic : Business Devlopment 
Action : ",,"94",,
"Drone Summit","DRON26","3","NEW","5/28/2026","5/28/2026","EMEA","Unknown","[""Walking""]",,,,,,"Home - Drone Summit 2025",,,"TBC SALES","ADG","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Drone","Requested by : 
BL: All 
Topic : Business Devlopment 
Action : ",,,,
"Annual ScyLight Conference 2026 ","SCYL26","3","NEW","6/26/2026","6/26/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://atpi.eventsair.com/scylight/",,,"GO","ADG","PNT",,"AWA",,,,"R&T budget - If participation confirmed, entrance to be taking care by the sales"," Annual meeting of European and Canadian industries -  the latest developments in the domain of optical and quantum communication technologies under the European Space Agency's (ESA) Optical & Quantum Communications","Requested by : Barbara Benavent: barbara.benavent@nav-timing.safrangroup.com
BL: All 
Topic : Business Devlopment 
Action : Coordinate with SED Spain -  walking or speaking ?",,,,
"MONEY2020","MONY26","3","NEW","6/2/2026","6/4/2026","EMEA","Unknown","[""Walking""]",,,,,,"Money20/20 Europe in Amsterdam | 2 - 4 June 2026",,,"WALKING SALES ","ADG","PNT ",,"AWA",,,,,,"Requested by :Mélanie Combay 
BL: ST4D
Topic : Business Devlopment 
Action : ",,,,
"HEMUS","HEMS26","2","NEW","6/3/2026","6/6/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.hemusbg.org/en",,,"WALKING SALES ","ADG","SED DEF",,"AWA",,,,"NO GO for DEF, so going by walking ","International Defence Equipment and Services Exhibition","Requested by : N/A - Usual Yearly participation
BL: All 
Topic : Business Devlopment 
Action : Coordinate with DEF",,,,
"Sensor + Test ","SNT26","3","Existing","6/9/2026","6/11/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.sensor-test.de/en/visitors/",,,"PENDING","GCI","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","sensor, measuring, and testing systems","Requested by : Interest TBC
BL: 
Topic : Business Devlopment 
Action : ",,,,
"INTEROP","INOP26","1","Existing","6/10/2026","6/12/2026","APAC","Unknown","[""Exhibition""]",,,,,,"https://www.interop.jp/",,,"PENDING","ADG","PNT ",,"AWA",,,,"Interest of participation TBC 
Warning : walking or exhibit - previously walking","ICT solutions","Requested by : Jacob
BL: 
Topic : Business Development 
Action : Validate or not the participation + level of participation 
Warning : walking or exhibit - previously walking
",,,,
"NEW : ILA","ILA26","1","NEW","6/10/2026","6/14/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.ila-berlin.de/en",,,"GO","ADG","SED DEF",,"AWA",,,,"Interest confirmed / budget + participants + products TBC","Le Bourget German airshow","Requested by : SED - mandatory participation  - minimum 5k  but have to put more  
BL: 
Topic : Business Development 
Action : Coordinate with SED or SHE - TBC ",,,,
"EUROSATORY  2026","EURO26","1","Existing","6/15/2026","6/19/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.eurosatory.com/",,,"GO","ADG",,,"AWA",,,,"Waiting for SAFRAN group information - participants + products TBC ","Defence","Requested by : N/A - Usual Yearly participation
BL: All 
Topic : Business Devlopment 
Action : Coordinate with SED/ Safran Group - 5000K only requested by Pierre Chambon Sophie 30000K - new proposal : between 15 and 20K - update of 06.11.25 - as it is a Safran group event we don&#39;t need to put so much budget - 5K could be enough ",,,"Awa Sow",
"Indian Space Congress - TBC","ISC26","3","NEW",,,"APAC","Unknown","[""Walking""]",,,,,,"?",,,"GO","ADG","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Space congress","Requested by : N/A - Usual Yearly participation
BL: ST4D Timing
Topic : 
Action : Exhibition with SDS ?",,,,
"World Quantum Computing & Engineering Summit (WQCES‑2026)","WQCE26","3","NEW","6/24/2026","6/26/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://quantumengineering.scientificsummits.org/",,,,"GCI",,,,,,,"If participation confirmed, entrance to be taking care by the sales",,,,,,
"ESA/JRC INTERNATIONAL SUMMER SCHOOL ON GNSS 2026","EJSS26","1","NEW","7/13/2026","7/24/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.esa-jrc-summerschool.org/",,,"PENDING","GCI","PNT ",,"AWA",,,,"Warning : new event requested a sponsoring Participation to be confirmed - could be handling with or without SDS","17th edition - sponsoring summer school for young researchers in satellite navigation ","Requested by : Quentin Parent
BL: ST4D / STT
Topic : Sponsoring
Action : Participation TBC - last year Skydell licence given for free + 1 presentation - request to have a more important participation this year 
Warning : new budget requested ",,,,
"FARNBOROUGH 2026","FARN26","1","Existing","7/20/2026","7/24/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.farnboroughairshow.com/",,,"GO","ADG",,,"AWA",,,,"Waiting for SAFRAN group information - participants + products TBC ",,"Requested by : N/A - Usual Yearly participation
BL: INS
Topic : Business Devlopment 
Action : Coordinate with SED/ Safran Group  - welcoming event without anything to exhibit",,,,
"PASJ","PASJ26","2","NEW","8/4/2026","8/4/2026","APAC","Unknown","[""Exhibition""]",,,,,,"https://www.testing-expo.com/china/zh/
",,,"PENDING","GCI","PNT ",,"AWA",,,,"Warning : New partnership event request directly a budget - participation TBC","Particle accelerator and high-energy physics","Requested by: Danny and local partner, Embeck.
BL: ST4D Timing.
Topic: Particle accelerator and high-energy physics
Action: Confirm any costs to be covered by Safran
Warning : New partnership event request directly a budget - participation TBC",,,,
"Automotive Testing Expo & Seminar","ATE26","2","Existing","8/25/2026","8/28/2026","APAC","Unknown","[""Exhibition""]",,,,,,"https://www.testing-expo.com/china/zh/
",,,"PENDING","GCI","PNT ",,"AWA",,,,"Warning : Budget TBC (request for 10000 euros against 5000 euros in 2025)","latest development and validation technologies from across the automotive testing industry","Requested by : Danny and local partner, Tesight.
BL: ST4D Simulation
Topic :  Simulation for automotive. OEMs (like Jaguar Land Rover, BYD, JAC Motors) and Third-party testing organizations (such as Guangzhou CEB, Guangdong Aerospace Technology Research Institute, CECC, etc.)
Comment: In 2025, Tesight generated 126 leads, with 56 expressing interest in GNSS simulators.
Tesight Cost：169,494元 / €22,600
Request for co-sponsor：€10,000
Expected Leads for Safran：80+
Expected Opportunities：10+
Action :  Confirm Safran budget for show.
",,,,
"Tesight Test & Simulation Offline Seminar","TTS26","2","Existing",,,"APAC","Unknown","[""Seminar""]",,,,,,,,,"PENDING","GCI","PNT Partner (Tesight)",,"AWA",,,,"Warning : Budget TBC (request for 5000 euros against 2500 euros in 2025)","Seminar ","Requested by : Danny and local partner, Tesight.
BL: ST4D Simulation
Topic :  Tesight will host a seminar focused on automotive and low-altitude economy applications, inviting ecosystem partners such as IPG, and dSAPCE to co-organize this larger-scale event. In October 2024, we held a similar seminar that drew over 40 OEMs and Tier 1 customers for on-site discussions.
Tesight Cost: €11,000
Request for co-sponsor: €5,000
Expected Leads: 100+
Expected Opportunities: 15+
Action :  Confirm Safran budget to support seminar.
",,,,
"FSI 2026","FSI26","2","Existing",,,"EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.fsi.no/",,,"PENDING","ADG","PNT ",,"AWA",,,,"Warning : budget allocation ? Only SSTN or other division implicated ? "," Norwegian Defence and Security Industries","Requested by : N/A - Usual Yearly participation
BL: STTN + Benjamin Faget in 2025
Topic : Business Devlopment
Action : Confirm participants to allocate the budget ",,,,
"EGYPT Airshow ","EGAS26","3","NEW","9/8/2026","9/10/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.egypt-air-show.com/",,,"GO","ADG","SED DEF",,"AWA",,,,"Warning : Level of participation TBC - 5k minimum","2nd edition - aircraft","Requested by :
BL: 
Topic : 
Action : Minimum 5k to put - do we want to put more ? ",,,,
"CONNECTED BRITAIN","CBR26","2","Existing","9/9/2026","9/10/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.terrapinn.com/conference/connected-britain/index.stm",,,"TBC SALES","ADG","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","UK’s digital economy","Requested by :Jay Malguitou - happening every year 
BL: ST4D 
Topic : Business Devlopment
Action : N/S",,,,
"MSPO 2026","MSPO26","2","Existing","9/8/2026","9/11/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"https://www.targikielce.pl/en/mspo",,,"GO","ADG","SED DEF",,"AWA",,,,"Interest + budget confirmed / participants + products TBC",,"Requested by : N/A - Usual Yearly participation
BL: All
Topic : Business Devlopment
Action : Coordinate with SED Defense",,,,
"INTERGEO 2026","INTG26","2","Existing","9/15/2026","9/17/2026","EMEA","Unknown","[""Exhibition""]",,,,,,"Servus Munich | Messe für Geodäsie, Geoinformation und Landmanagement",,,"PENDING BUDGET ","ADG","PNT ",,"AWA",,,,"Warning : budget allocation ? Request for a bigger booth by Jeya - previously only STTN but could interest more sales
","the world's leading trade fair for geodesy, geoinformation, and land management","Requested by : N/A - Usual Yearly participation
BL: All
Topic : Business Devlopment
Action : Request for a bigger booth for 2026

",,,,
"BIDATA & AI ","BDAI26","3","NEW","9/15/2026","9/16/2026","EMEA","Unknown","[""Walking""]",,,,,,"https://www.bigdataparis.com/#/",,,"TBC SALES","GCI","PNT ",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Data and IA meeting conference","Requested by : Quentin Parent
BL: All
Topic : Business Devlopment
Action : ",,,,
"DX KOREA 2026 ","DXKO26","2","Existing","9/16/2026","9/19/2026","APAC","Unknown","[""Walking""]",,,,,,"http://dxkorea.openhaja.com/en/index.asp",,,"GO","ADG","SED Korea",,"AWA",,,,"If participation confirmed, entrance to be taking care by the sales","Defense and security","Requested by : N/A - Usual Yearly participation
BL: All
Topic : Business Devlopment
Action : SED Defense won&#39;t exhibit - will exhibit at KADEX KOREA so if we want to go it will be as walker

Comments : no budget indicated in 2024 ",,,,
